map,rank,car,time
WKC 상해 서킷,86,골든 스톰 블레이드 9,01:33:22
차이나 북경 자금성,115,골든 스톰 블레이드 9,01:21:62
월드 리오 다운힐,231,골든 스톰 블레이드 9,01:09:66
사막 피라미드 탐험,198,골든 스톰 블레이드 9,01:29:23
해적 로비 절벽의 전투,313,멘티스 9,02:00:96
포레스트 행복한 팬더 마을,167,골든 스톰 블레이드 9,01:19:80
[reverse] 빌리지 운하,49,골든 스톰 블레이드 9,01:07:68
